timestamp,cpu_usage,ram_usage,vram_usage,disk_read_speed,disk_write_speed,network_bytes_sent,network_bytes_received,total_running_processes,average_process_cpu_usage,average_process_ram_usage,total_active_connections,total_unique_ip_connections
2024-09-29 08:57:50.994432,0.09,0.858,0.0,80506298880.0,31512351744.0,227556452.0,7448616308.0,339,0.0,0.0027162219466166,212,9
2024-09-29 08:57:59.123426,0.01,0.857,0.0,80506792448.0,31512936960.0,227557049.0,7448617928.0,337,0.0236795252225519,0.0027217392655525,209,9
2024-09-29 08:58:07.302734,0.033,0.872,0.0,80514506240.0,31514701824.0,227600566.0,7448659469.0,337,0.0235074183976261,0.0027780173159498,215,9
2024-09-29 08:58:28.489501,0.008,0.873,0.0,80558305280.0,31519269376.0,227639288.0,7448673688.0,339,0.0,0.002759443478406,208,9
2024-09-29 08:58:36.629953,0.01,0.872,0.0,80558510080.0,31520007168.0,227639777.0,7448674094.0,339,0.0235811209439528,0.0027538645858942,207,9
2024-09-29 08:58:44.981223,0.0139999999999999,0.867,0.0,80560279040.0,31520656384.0,227643352.0,7448692838.0,339,0.023551622418879,0.0027334966425888,208,9
2024-09-29 08:58:53.045956,0.002,0.867,0.0,80560623104.0,31521191424.0,227647315.0,7448702616.0,338,0.0236124260355029,0.002743664647722,209,9
2024-09-29 08:59:01.115400,0.004,0.865,0.0,80561122816.0,31525036032.0,227651289.0,7448707880.0,338,0.0236153846153846,0.0027377354107627,209,9
2024-09-29 08:59:09.207000,0.019,0.8640000000000001,0.0,80561364480.0,31525621248.0,227652137.0,7448708724.0,338,0.0236420118343195,0.0027372332135297,214,9
2024-09-29 08:59:17.291038,0.004,0.866,0.0,80562388480.0,31526474240.0,227663300.0,7448710607.0,338,0.0236420118343195,0.002737972839254,209,9
2024-09-29 08:59:25.362311,0.0,0.8640000000000001,0.0,80562421248.0,31530065408.0,227665216.0,7448724407.0,338,0.0236242603550295,0.0027370447096972,207,9
2024-09-29 08:59:33.405787,0.0,0.863,0.0,80562585600.0,31531062272.0,227668152.0,7448732400.0,337,0.0237062314540059,0.0027376357275177,207,9
2024-09-29 08:59:41.459258,0.02,0.863,0.0,80562917888.0,31531418112.0,227671050.0,7448740349.0,338,0.0236124260355029,0.0027335545108756,207,9
2024-09-29 08:59:49.533708,0.004,0.862,0.0,80563117568.0,31532293120.0,227671593.0,7448740823.0,338,0.0236242603550295,0.0027335617056783,207,9
2024-09-29 08:59:57.591944,0.084,0.863,0.0,80564035072.0,31532561408.0,227672136.0,7448742391.0,338,0.0236479289940828,0.0027378865016208,207,9
2024-09-29 09:00:05.644081,0.002,0.863,0.0,80576779264.0,31533685760.0,227672547.0,7448743083.0,339,0.0235781710914454,0.0027041839634303,206,9
2024-09-29 09:00:13.766041,0.008,0.831,0.0,80576852992.0,31534648320.0,227678815.0,7448765030.0,338,0.023603550295858,0.0025838810289401,210,9
2024-09-29 09:00:21.828944,0.01,0.8320000000000001,0.0,80576967680.0,31535556608.0,227689504.0,7448767259.0,338,0.0236124260355029,0.0025847731844831,203,9
2024-09-29 09:00:29.907035,0.004,0.8320000000000001,0.0,80578690560.0,31536291328.0,227690203.0,7448767948.0,341,0.0234252199413489,0.0025629881530141,201,9
2024-09-29 09:00:37.971013,0.008,0.836,0.0,80579235328.0,31537022976.0,227691973.0,7448780035.0,341,0.0233900293255132,0.002575462582226,201,9
2024-09-29 09:00:46.058392,0.012,0.836,0.0,80579247616.0,31537731072.0,227692901.0,7448783593.0,342,0.0233099415204678,0.0025748492331438,199,9
2024-09-29 09:00:54.158142,0.006,0.8340000000000001,0.0,80579911168.0,31538665984.0,227693557.0,7448785116.0,342,0.0233070175438596,0.0025821426299524,198,9
2024-09-29 09:01:02.353981,0.013,0.8390000000000001,0.0,80580573184.0,31539368960.0,227714618.0,7448819299.0,343,0.0232507288629737,0.0025819447879521,201,9
2024-09-29 09:01:10.431862,0.002,0.838,0.0,80581449216.0,31541015040.0,227715364.0,7448820010.0,343,0.0233002915451895,0.0025791875171856,207,9
2024-09-29 09:01:18.494721,0.002,0.8390000000000001,0.0,80584553984.0,31542112768.0,227728290.0,7448832974.0,344,0.0232238372093023,0.0025830212792908,209,9
2024-09-29 09:01:26.858773,0.012,0.8370000000000001,0.0,80592238592.0,31545997824.0,227733850.0,7448841382.0,341,0.0234486803519061,0.0025932763695165,208,9
2024-09-29 09:01:34.953577,0.01,0.835,0.0,80592300032.0,31547523584.0,227734689.0,7448852361.0,341,0.0233929618768328,0.0025948167746787,208,9
2024-09-29 09:01:43.038961,0.004,0.8370000000000001,0.0,80592320512.0,31548749824.0,227735889.0,7448853426.0,342,0.0233274853801169,0.0025935680272342,208,9
2024-09-29 09:01:51.108135,0.033,0.836,0.0,80601628672.0,31549613056.0,227736842.0,7448858050.0,342,0.0233508771929824,0.0025936938857927,207,9
2024-09-29 09:01:59.163316,0.021,0.835,0.0,80601628672.0,31550587392.0,227738187.0,7448862584.0,343,0.0232857142857142,0.0025922542439088,207,9
2024-09-29 09:02:07.238337,0.013,0.835,0.0,80601735168.0,31551374336.0,227747451.0,7448882013.0,341,0.0234105571847507,0.0025978569354225,212,9
